URI,a,b,NAME,c
"http://id.loc.gov/vocabulary/iso639-2/hrv","","hr","Croatian","croate"
"http://id.loc.gov/vocabulary/iso639-2/hsb","","","Upper Sorbian","haut-sorabe"
"http://id.loc.gov/vocabulary/iso639-2/hun","","hu","Hungarian","hongrois"
"http://id.loc.gov/vocabulary/iso639-2/hup","","","Hupa","hupa"
"http://id.loc.gov/vocabulary/iso639-2/iba","","","Iban","iban"
"http://id.loc.gov/vocabulary/iso639-2/ibo","","ig","Igbo","igbo"
"http://id.loc.gov/vocabulary/iso639-2/ice","isl","is","Icelandic","islandais"
"http://id.loc.gov/vocabulary/iso639-2/ido","","io","Ido","ido"
"http://id.loc.gov/vocabulary/iso639-2/iii","","ii","Sichuan Yi; Nuosu","yi de Sichuan"
"http://id.loc.gov/vocabulary/iso639-2/ijo","","","Ijo languages","ijo, langues"
"http://id.loc.gov/vocabulary/iso639-2/iku","","iu","Inuktitut","inuktitut"
"http://id.loc.gov/vocabulary/iso639-2/ile","","ie","Interlingue; Occidental","interlingue"
"http://id.loc.gov/vocabulary/iso639-2/ilo","","","Iloko","ilocano"
"http://id.loc.gov/vocabulary/iso639-2/ina","","ia","Interlingua (International Auxiliary Language Association)","interlingua (langue auxiliaire internationale)"
"http://id.loc.gov/vocabulary/iso639-2/inc","","","Indic languages","indo-aryennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/ind","","id","Indonesian","indonésien"
"http://id.loc.gov/vocabulary/iso639-2/ine","","","Indo-European languages","indo-européennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/inh","","","Ingush","ingouche"
"http://id.loc.gov/vocabulary/iso639-2/ipk","","ik","Inupiaq","inupiaq"
"http://id.loc.gov/vocabulary/iso639-2/ira","","","Iranian languages","iraniennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/iro","","","Iroquoian languages","iroquoises, langues"
"http://id.loc.gov/vocabulary/iso639-2/ita","","it","Italian","italien"
"http://id.loc.gov/vocabulary/iso639-2/jav","","jv","Javanese","javanais"
"http://id.loc.gov/vocabulary/iso639-2/jbo","","","Lojban","lojban"
"http://id.loc.gov/vocabulary/iso639-2/jpn","","ja","Japanese","japonais"
"http://id.loc.gov/vocabulary/iso639-2/jpr","","","Judeo-Persian","judéo-persan"
"http://id.loc.gov/vocabulary/iso639-2/jrb","","","Judeo-Arabic","judéo-arabe"
"http://id.loc.gov/vocabulary/iso639-2/kaa","","","Kara-Kalpak","karakalpak"
"http://id.loc.gov/vocabulary/iso639-2/kab","","","Kabyle","kabyle"
"http://id.loc.gov/vocabulary/iso639-2/kac","","","Kachin; Jingpho","kachin; jingpho"
"http://id.loc.gov/vocabulary/iso639-2/kal","","kl","Kalaallisut; Greenlandic","groenlandais"
"http://id.loc.gov/vocabulary/iso639-2/kam","","","Kamba","kamba"
"http://id.loc.gov/vocabulary/iso639-2/kan","","kn","Kannada","kannada"
"http://id.loc.gov/vocabulary/iso639-2/kar","","","Karen languages","karen, langues"
"http://id.loc.gov/vocabulary/iso639-2/kas","","ks","Kashmiri","kashmiri"
